school,midcareer_pay,annual_cost,median_debt,total_cost,roi_debt_adjusted,earn_premium,break_even_years,sector
Alabama A & M University,40628.0,10024.0,16600.0,10024.0,1.397047086991221,2208.0,12.057971014492754,Public
University of Alabama at Birmingham,54501.0,8832.0,15832.0,8832.0,3.3782835144927534,16081.0,1.5337354642124246,Public
Amridge University,37621.0,,13385.0,,,-799.0,,Private_nonprofit
University of Alabama in Huntsville,61767.0,11770.0,13905.0,11770.0,3.0664401019541208,23347.0,1.0997130252280807,Public
Alabama State University,34502.0,11248.0,17500.0,11248.0,0.5115576102418208,-3918.0,,Public
The University of Alabama,59221.0,11900.0,17986.0,11900.0,2.465126050420168,20801.0,1.436757848180376,Public
Central Alabama Community College,33506.0,5040.0,5500.0,5040.0,4.556746031746032,-4914.0,,Public
Athens State University,50273.0,,14861.0,,,11853.0,,Public
Auburn University at Montgomery,44391.0,9436.0,13119.0,9436.0,2.314116150911403,5971.0,3.7774242170490706,Public
Auburn University,65337.0,12536.0,17750.0,12536.0,2.7960274409700063,26917.0,1.125162536686852,Public
Birmingham-Southern College,59481.0,22750.0,16000.0,22750.0,0.9112527472527473,21061.0,1.8398936422771948,Private_nonprofit
Chattahoochee Valley Community College,36438.0,5040.0,5900.0,5040.0,5.059126984126984,-1982.0,,Public
South University-Montgomery,34421.0,18238.0,13000.0,18238.0,0.17452571553898455,-3999.0,,Private_forprofit
Enterprise State Community College,42572.0,5040.0,5500.0,5040.0,6.355555555555555,4152.0,2.5385356454720616,Public
Coastal Alabama Community College,34894.0,4980.0,5500.0,4980.0,4.902409638554217,-3526.0,,Public
Faulkner University,43457.0,23920.0,15000.0,23920.0,0.18967391304347825,5037.0,7.726821520746476,Private_nonprofit
Gadsden State Community College,32937.0,4032.0,,4032.0,,-5483.0,,Public
New Beginning College of Cosmetology,,,6100.0,,,,,Private_forprofit
George C Wallace Community College-Dothan,31399.0,4920.0,,4920.0,,-7021.0,,Public
George C Wallace State Community College-Hanceville,39842.0,4980.0,8200.0,4980.0,5.3538152610441765,1422.0,9.268635724331928,Public
George C Wallace State Community College-Selma,31598.0,4680.0,,4680.0,,-6822.0,,Public
Herzing University-Birmingham,36909.0,13420.0,11756.0,13420.0,0.8742921013412817,-1511.0,,Private_nonprofit
Huntingdon College,49601.0,28650.0,20000.0,28650.0,0.03319371727748691,11181.0,4.351131383597174,Private_nonprofit
Heritage Christian University,42597.0,11982.0,,11982.0,,4177.0,,Private_nonprofit
J. F. Drake State Community and Technical College,28281.0,5130.0,,5130.0,,-10139.0,,Public
J F Ingram State Technical College,,6084.0,,6084.0,,,,Public
Jacksonville State University,45235.0,12426.0,14000.0,12426.0,1.5136809914694995,6815.0,3.8776228906823182,Public
Jefferson State Community College,40719.0,5040.0,4500.0,5040.0,6.186309523809523,2299.0,4.149630274032188,Public
John C Calhoun State Community College,38192.0,5060.0,6010.0,5060.0,5.3600790513834,-228.0,,Public
Lawson State Community College,31701.0,4980.0,,4980.0,,-6719.0,,Public
