school,annual_cost,median_debt,midcareer_pay,roi_debt_adjusted
United States Merchant Marine Academy,945.0,6500.0,90610.0,88.005291005291
Las Positas College,1168.0,5639.0,51088.0,37.91181506849315
Irvine Valley College,1156.0,4500.0,49156.0,37.62975778546713
IDEA at ATEP,1156.0,4500.0,49156.0,37.62975778546713
San Diego Miramar College,1150.0,4239.0,48224.0,37.24782608695652
Ohlone College,1202.0,9500.0,54278.0,36.25291181364393
College of the Canyons,1176.0,6375.0,49022.0,35.26445578231292
Skyline College,1332.0,7500.0,55702.0,35.187687687687685
College of San Mateo,1332.0,6875.0,54172.0,34.50825825825826
San Diego Mesa College,1150.0,4500.0,45120.0,34.321739130434786
Santiago Canyon College,1164.0,4500.0,44956.0,33.756013745704465
Napa Valley College,1156.0,9371.0,49517.0,33.72837370242215
Diablo Valley College,1312.0,6000.0,51378.0,33.58689024390244
Orange Coast College,1208.0,6175.0,47348.0,33.08360927152318
Chabot College,1150.0,8973.0,48143.0,33.06086956521739
