major_title,median_earnings,median_debt,earn_premium,est_payback_years,programs_count
Petroleum Engineering,91298.0,24211.0,35898.0,8.95,21
Computer Engineering,89103.0,23000.0,33703.0,9.53,196
"Electrical, Electronics and Communications Engineering",87301.0,23000.0,31901.0,10.04,278
Chemical Engineering,86191.0,22732.0,30791.0,10.28,162
"Aerospace, Aeronautical and Astronautical Engineering",85053.0,23694.0,29653.0,10.63,62
Computer Science,81911.0,22067.0,26511.0,10.36,372
Mechanical Engineering,80947.0,22822.0,25547.0,11.63,329
Industrial Engineering,80644.0,24387.0,25244.0,11.61,97
Construction Management,79735.0,22813.0,24335.0,11.735,62
"Engineering, Other",78825.5,22500.0,23425.5,12.11,20
"Pharmacy, Pharmaceutical Sciences, and Administration",78809.0,23950.0,23409.0,7.37,26
Biomedical/Medical Engineering,78639.0,22588.0,23239.0,11.44,124
Construction Engineering Technologies,78581.5,22479.0,23181.5,11.93,50
Materials Engineering,78265.0,23000.0,22865.0,12.09,37
"Engineering, General",77918.0,25373.5,22518.0,12.41,63
Architectural Engineering,77591.0,25508.0,22191.0,12.82,15
Electrical Engineering Technologies/Technicians,75968.0,27000.0,20568.0,13.71,66
Civil Engineering,75390.5,22608.5,19990.5,13.59,236
Engineering-Related Fields,74434.0,24570.0,19034.0,13.87,36
Agricultural Engineering,73303.0,22437.0,17903.0,13.66,25
"Computer and Information Sciences, General",73124.0,22750.0,17724.0,13.27,498
Fire Protection,72886.0,23469.0,17486.0,12.27,21
Computer Engineering Technologies/Technicians,72749.0,33106.0,17349.0,16.68,36
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",72411.0,22750.0,17011.0,14.774999999999999,1061
Electromechanical Instrumentation and Maintenance Technologies/Technicians,72119.0,50844.0,16719.0,17.26,22
"Engineering Technologies/Technicians, Other",71782.5,24544.0,16382.5,14.215,18
Information Science/Studies,71263.0,23808.0,15863.0,13.97,145
Quality Control and Safety Technologies/Technicians,71261.0,24875.0,15861.0,15.835,21
Applied Mathematics,71058.5,20635.0,15658.5,13.47,50
"Engineering Technology, General",70608.0,24687.5,15208.0,15.23,39
Statistics,70447.0,19588.5,15047.0,12.92,55
Civil Engineering Technologies/Technicians,70327.0,25812.5,14927.0,16.619999999999997,17
Computer Programming,70157.5,30125.0,14757.5,14.85,42
Mechanical Engineering Related Technologies/Technicians,70143.0,25530.0,14743.0,15.62,65
Management Information Systems and Services,69773.0,22300.0,14373.0,14.315000000000001,187
Industrial Production Technologies/Technicians,68935.0,21229.0,13535.0,14.87,57
Management Sciences and Quantitative Methods,67841.0,22556.5,12441.0,14.67,130
Environmental/Environmental Health Engineering,67326.5,21500.0,11926.5,18.97,50
Computer Systems Networking and Telecommunications,66360.0,33845.0,10960.0,23.36,56
Insurance,65461.0,21250.0,10061.0,13.855,23
Computer Systems Analysis,65324.0,40509.0,9924.0,25.29,40
Economics,65176.0,20500.0,9776.0,18.935000000000002,395
Finance and Financial Management Services,64385.0,21500.0,8985.0,18.83,466
Clinical/Medical Laboratory Science/Research and Allied Professions,63606.0,20778.0,8206.0,25.21,107
Business/Managerial Economics,63433.0,21000.0,8033.0,16.990000000000002,97
Computer/Information Technology Administration and Management,63039.0,25250.0,7639.0,22.66,120
Real Estate,61641.0,20319.0,6241.0,13.8,29
Air Transportation,61010.0,22067.0,5610.0,18.950000000000003,65
