UNITID,INSTNM,CITY,STABBR,sector,UGDS,annual_net_cost,median_debt,midcareer_earnings,earn_premium_10yr,roi_debt_adjusted,payback_period_years,npv_10yr,npv_20yr,npv_30yr,debt_to_earnings_ratio
111434,Canada College,Redwood City,CA,Public,4878.0,10.0,,50087.0,-5313.0,1251.175,,-213628.78398007323,-262250.34331148915,-275001.1387549647,
123217,College of the Sequoias,Visalia,CA,Public,10752.0,29.0,4500.0,39092.0,-16308.0,297.2068965517241,,-256370.22532696818,-371849.9874811464,-439659.1114736294,0.11511306661209454
135647,Miami Lakes Educational Center and Technical College,Miami Lakes,FL,Public,730.0,98.0,,35014.0,-20386.0,88.32142857142857,,-272447.7318692356,-412724.92477477575,-500954.95498125174,
485458,Coastal Pines Technical College,Waycross,GA,Public,1688.0,124.0,,30214.0,-25186.0,59.91532258064516,,-291171.29259396513,-460636.2411656496,-572902.6494562762,
241720,Colegio Universitario de San Juan,San Juan,PR,Public,542.0,200.0,,26510.0,-28890.0,32.1375,,-305822.6845257423,-497810.8512198018,-628625.3312653648,
420431,Oconee Fall Line Technical College,Sandersville,GA,Public,1580.0,294.0,6514.0,30899.0,-24501.0,19.735544217687075,,-289129.8350607355,-454429.44766756403,-563265.6645024316,0.21081588400919124
198321,Cleveland Community College,Shelby,NC,Public,1236.0,414.0,,33755.0,-21645.0,19.383454106280194,,-278481.0583355515,-426413.9563210241,-520948.528195822,
120421,Oxnard College,Oxnard,CA,Public,6059.0,659.0,,41393.0,-14007.0,14.702959028831563,,-249726.69450243402,-351214.57628415414,-407501.26153254736,
198251,Central Carolina Community College,Sanford,NC,Public,3255.0,616.0,,33525.0,-21875.0,12.605925324675324,,-280106.94554444443,-429438.4234889198,-525124.73848025,
119137,Moorpark College,Moorpark,CA,Public,12011.0,742.0,9500.0,49044.0,-6356.0,12.323450134770889,,-220333.8336044796,-275297.6490108515,-293271.3491088622,0.19370361308213033
111887,Cerritos College,Norwalk,CA,Public,18710.0,693.0,8447.0,41156.0,-14244.0,10.79978354978355,,-250769.92687284813,-353698.95409058407,-411172.4355068824,0.20524346389347847
133021,Chipola College,Marianna,FL,Public,1218.0,832.0,,37378.0,-18022.0,10.231370192307692,,-265937.2021152574,-391839.4253552212,-468231.539355253,
175519,Coahoma Community College,Clarksdale,MS,Public,1314.0,560.0,,24289.0,-31111.0,9.84330357142857,,-315749.3252314757,-521242.9097035574,-663179.2221918073,
155098,Fort Scott Community College,Fort Scott,KS,Public,763.0,665.0,9500.0,37213.0,-18187.0,9.41842105263158,,-265971.3877938624,-392876.94013485004,-470095.3046315245,0.2552871308413726
170240,Henry Ford College,Dearborn,MI,Public,8695.0,576.0,14250.0,34795.0,-20605.0,7.917100694444445,,-275032.77828128636,-416641.66253909434,-505968.35249565967,0.4095416008047133
218025,Florence-Darlington Technical College,Florence,SC,Public,2890.0,598.0,12250.0,32748.0,-22652.0,7.5693979933110365,,-283057.20650119835,-437113.4523941308,-536690.6560878329,0.37406864541346035
